Optimal Number of Walks: 177
Number of Successful Attacks: 96
Number of Failed Attacks: 2

---- Failed Attacks ----
Node: 96, Valuable Node: 96, Similarity Score: 0.702785212011622
Node: 106, Valuable Node: 106, Similarity Score: 0.8741770950905733

---- Successful Attacks ----
Node: 193, Valuable Node: 193, Similarity Score: 1.0
Node: 32, Valuable Node: 32, Similarity Score: 1.0
Node: 148, Valuable Node: 148, Similarity Score: 1.0
Node: 185, Valuable Node: 185, Similarity Score: 1.0
Node: 219, Valuable Node: 219, Similarity Score: 1.0
Node: 230, Valuable Node: 230, Similarity Score: 1.0
Node: 116, Valuable Node: 116, Similarity Score: 1.0
Node: 84, Valuable Node: 84, Similarity Score: 1.0
Node: 17, Valuable Node: 17, Similarity Score: 1.0
Node: 267, Valuable Node: 267, Similarity Score: 1.0
Node: 187, Valuable Node: 187, Similarity Score: 1.0
Node: 281, Valuable Node: 281, Similarity Score: 1.0
Node: 234, Valuable Node: 291, Similarity Score: 0.7543632072833546
Node: 82, Valuable Node: 82, Similarity Score: 1.0
Node: 89, Valuable Node: 89, Similarity Score: 1.0
Node: 180, Valuable Node: 180, Similarity Score: 1.0
Node: 264, Valuable Node: 264, Similarity Score: 1.0
Node: 120, Valuable Node: 120, Similarity Score: 1.0
Node: 153, Valuable Node: 153, Similarity Score: 1.0
Node: 23, Valuable Node: 23, Similarity Score: 1.0
Node: 101, Valuable Node: 101, Similarity Score: 1.0
Node: 83, Valuable Node: 83, Similarity Score: 1.0
Node: 108, Valuable Node: 108, Similarity Score: 1.0
Node: 186, Valuable Node: 186, Similarity Score: 1.0
Node: 12, Valuable Node: 12, Similarity Score: 1.0
Node: 283, Valuable Node: 283, Similarity Score: 1.0
Node: 111, Valuable Node: 111, Similarity Score: 1.0
Node: 191, Valuable Node: 191, Similarity Score: 1.0
Node: 276, Valuable Node: 276, Similarity Score: 1.0
Node: 296, Valuable Node: 296, Similarity Score: 1.0
Node: 64, Valuable Node: 64, Similarity Score: 1.0
Node: 239, Valuable Node: 239, Similarity Score: 1.0
Node: 7, Valuable Node: 7, Similarity Score: 1.0
Node: 77, Valuable Node: 77, Similarity Score: 1.0
Node: 271, Valuable Node: 271, Similarity Score: 1.0
Node: 291, Valuable Node: 234, Similarity Score: 0.7543632072833546
Node: 125, Valuable Node: 125, Similarity Score: 1.0
Node: 43, Valuable Node: 43, Similarity Score: 1.0
Node: 173, Valuable Node: 173, Similarity Score: 1.0
Node: 86, Valuable Node: 86, Similarity Score: 1.0
